model,cv_roc_auc,cv_roc_auc_std,cv_pr_auc,cv_pr_auc_std,accuracy,precision,recall,f1,roc_auc,pr_auc
majority_baseline,0.5,0.0,0.2657777777777778,0.0,0.7341862117981521,0.0,0.0,0.0,0.5,0.2658137882018479
logistic_regression,0.8459376290621685,0.005371683863154451,0.6590278055656718,0.012940591818326491,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8351344145860403,0.6183128860330439
random_forest,0.8472527472527472,0.0054361478598021805,0.6628369528414824,0.015274567194885642,0.7469793887704336,0.5157342657342657,0.7887700534759359,0.6236786469344608,0.8330637103913112,0.6381259679274259
